"","X1","X2","X3","X4","X5"
"result.1",1.98894555286603,0.512878933269531,3.96608719313053,2.34850467640358,-3.09387539645631
"result.2",1.98895015151832,0.512871322092074,3.96608712308439,2.34849548857146,-3.09386860949657
"result.3",1.98901771055326,0.512695150464967,3.96632589147093,2.34858129884577,-3.09413455989661
"result.4",1.98893432579616,0.512844820897312,3.96609126274234,2.34851720967467,-3.09385965407131
"result.5",1.9889606805331,0.512900247773303,3.96605271970286,2.34856100648104,-3.09391533944317
"result.6",1.98895456868467,0.512855599755078,3.9660909754222,2.34850244560867,-3.09387083685358
"result.7",1.99786256943014,0.516521417156476,3.96550297115378,2.34803982072259,-3.10257355128397
"result.8",1.98895290398722,0.512889736065545,3.96608247422837,2.34847480589735,-3.09386473058789
"result.9",1.98890103918049,0.512946983154508,3.96603358991542,2.34851726939559,-3.09383632366574
"result.10",1.98895740065509,0.512882867091809,3.9660675503817,2.34849758464559,-3.0938657972543
"result.11",1.98893781485308,0.512874864987357,3.96609382448023,2.34847988860094,-3.09384888403063
"result.12",1.9889521176927,0.512877034351722,3.96607519139908,2.3484959235811,-3.09386264012116
"result.13",1.9887521656332,0.513378257342374,3.96634736381466,2.34806126496419,-3.09412098304427
"result.14",1.98297592525013,0.509378342621074,3.9721399561765,2.35390248940368,-3.0941884387728
"result.15",1.98900507548366,0.512890491162771,3.96606086292293,2.34843570209856,-3.09392984286343
"result.16",1.98894685253822,0.512883276587641,3.96608695983037,2.34849270899786,-3.09387267033332
"result.17",1.98894974858598,0.512871099441818,3.96608643352374,2.34849469908415,-3.09386787879607
"result.18",1.98893689095375,0.51285970407409,3.96608020295286,2.34852603955571,-3.09386212705959
"result.19",1.98894963077779,0.512888395492502,3.96605265048366,2.3484975282604,-3.09386947160777
"result.20",1.98883310797168,0.512829314361311,3.96613910394315,2.34845766709457,-3.09375935794497
