"","","","","",""
"result.1",0.00134799543749152,0.000780005616394102,-0.000504506398675458,0.00113863371951873,-0.00243865076683049
"result.2",0.000337802039468353,-3.05349581431387e-05,0.000173379785560511,5.0583897983007e-05,-0.000539712899280881
"result.3",0.000808565193763903,0.000186166917228512,-0.0034533857269828,0.00128709919483058,0.000491043229970861
"result.4",-0.00145025316073134,-0.0033796745830279,0.00491059900088947,-0.000714072360820963,-0.000861980095432133
"result.5",0.000597132764603941,0.00028864921394659,0.000526262063026906,0.000335909866814681,-0.0012014895250884
"result.6",0.000523822921472619,0.00052215592251486,-0.000405714419277561,0.000425546789494209,-0.000815216213651599
"result.7",0.00128613985350962,-0.00218592321532444,0.00371993945183242,-0.00337154903983012,0.00218154540200302
"result.8",5.91409349415243e-05,0.000938831130704125,-0.0009707825085799,0.000761646528984395,-0.000698673089076178
"result.9",-0.00246421291866073,0.0025017280974272,-0.0014287710707061,-0.000764039687485949,0.00297131965464526
"result.10",-5.79942039015336e-06,0.000688178108994466,-0.00026508802126329,0.000809717147569251,-0.00123137574228283
"result.11",-0.000685650824836769,0.000211021988406197,0.000511576721098485,0.00116864597460832,-0.000803340662899552
"result.12",0.00061077614448374,0.00183555202088766,-0.000876077220842193,-0.00064353487781817,-0.000730501293170289
"result.13",0.00020913669142372,0.000252056535263362,-0.000298613729992365,0.000728651263789611,-0.000726800844005142
"result.14",0.00302803937653596,-0.0012740612899992,0.000162593250444935,-0.00529377825237102,0.0035167150400976
"result.15",0.0038446152716091,-0.0033788980605061,-0.0016069489123457,-0.002409151476896,0.00321310461632265
"result.16",0.000548653550737047,0.000555783992097455,-0.00041208702692538,0.00044393175628479,-0.000860253871758778
"result.17",0.000277570399366115,0.00114022360785411,-0.000400068395430517,0.000117927899328631,-0.000971205368731271
"result.18",0.000260571943842211,0.000964277354194625,-0.000587158573143796,5.8769870749083e-06,-0.000793213294985202
"result.19",-8.74069562901338e-05,-0.00199316315714487,0.00366743474898526,0.00344886236855164,-0.00468052781789862
"result.20",0.000395586015945042,1.16025888291632e-05,0.000250603443092451,0.000445075442308955,-0.000316943351076495
